Date,Tmax,Tmin,Tavg
"7/5/19",65.000000,51.000000,61.000000
"8/5/19",68.000000,54.000000,56.500000
"9/5/19",61.000000,52.000000,64.500000
"10/5/19",73.000000,56.000000,61.000000
"11/5/19",70.000000,57.000000,51.500000
"12/5/19",59.000000,44.000000,58.000000
"13/5/19",50.000000,42.000000,48.000000
"14/5/19",52.000000,44.000000,47.000000
"15/5/19",69.000000,47.000000,61.000000
"16/5/19",73.000000,55.000000,70.500000
"17/5/19",78.000000,63.000000,74.000000
"18/5/19",75.000000,59.000000,68.000000
"19/5/19",76.000000,60.000000,61.000000
"20/5/19",89.000000,65.000000,72.000000
"21/5/19",71.000000,57.000000,70.500000
"22/5/19",76.000000,57.000000,68.500000
"23/5/19",75.000000,58.000000,68.500000
"24/5/19",74.000000,63.000000,73.000000
"25/5/19",70.000000,57.000000,51.500000
"26/5/19",89.000000,62.000000,73.000000
"27/5/19",81.000000,66.000000,66.500000
"28/5/19",71.000000,62.000000,68.500000
"29/5/19",68.000000,56.000000,62.000000
"30/5/19",68.000000,56.000000,62.000000
"31/5/19",81.000000,61.000000,70.500000
"1/6/19",80.000000,63.000000,73.000000
"2/6/19",83.000000,63.000000,71.500000
"3/6/19",72.000000,60.000000,65.000000
"4/6/19",73.000000,57.000000,74.000000
"5/6/19",82.000000,66.000000,72.500000
"6/6/19",83.000000,71.000000,72.000000
"7/6/19",81.000000,63.000000,71.500000
"8/6/19",80.000000,63.000000,73.000000
"9/6/19",78.000000,61.000000,64.500000
"10/6/19",70.000000,59.000000,61.000000
"11/6/19",77.000000,64.000000,74.000000
"12/6/19",74.000000,62.000000,61.000000
"13/6/19",65.000000,57.000000,56.500000
"14/6/19",76.000000,61.000000,73.000000
"15/6/19",84.000000,62.000000,71.500000
"16/6/19",83.000000,68.000000,73.000000
"17/6/19",76.000000,70.000000,71.500000
"18/6/19",75.000000,65.000000,71.500000
"19/6/19",72.000000,64.000000,61.000000
"20/6/19",78.000000,62.000000,71.500000
"21/6/19",78.000000,65.000000,73.000000
"22/6/19",80.000000,63.000000,73.000000
"23/6/19",86.000000,67.000000,79.500000
"24/6/19",86.000000,70.000000,77.500000
"25/6/19",87.000000,71.000000,79.500000
"26/6/19",90.000000,69.000000,76.500000
"27/6/19",90.000000,72.000000,82.000000
"28/6/19",93.000000,71.000000,85.000000
"29/6/19",94.000000,76.000000,80.500000
"30/6/19",85.000000,71.000000,77.500000
"1/7/19",88.000000,67.000000,78.500000
"2/7/19",88.000000,75.000000,80.500000
"3/7/19",87.000000,75.000000,82.000000
"4/7/19",93.000000,71.000000,85.000000
"5/7/19",85.000000,72.000000,84.500000
"6/7/19",93.000000,76.000000,79.000000
"7/7/19",85.000000,73.000000,79.500000
"8/7/19",82.000000,69.000000,73.000000
"9/7/19",89.000000,71.000000,81.500000
"10/7/19",91.000000,74.000000,84.000000
"11/7/19",86.000000,74.000000,81.500000
"12/7/19",89.000000,74.000000,80.500000
"13/7/19",89.000000,72.000000,85.000000
"14/7/19",92.000000,78.000000,80.500000
"15/7/19",89.000000,72.000000,85.000000
"16/7/19",94.000000,73.000000,84.000000
"17/7/19",95.000000,73.000000,85.500000
"18/7/19",78.000000,71.000000,70.500000
"19/7/19",95.000000,71.000000,91.000000
"20/7/19",99.000000,83.000000,91.500000
"21/7/19",100.000000,83.000000,82.500000
"22/7/19",91.000000,74.000000,84.000000
"23/7/19",77.000000,68.000000,76.500000
"24/7/19",85.000000,69.000000,72.000000
"25/7/19",86.000000,72.000000,79.500000
"26/7/19",88.000000,72.000000,81.500000
"27/7/19",87.000000,75.000000,82.000000
"28/7/19",93.000000,75.000000,85.500000
"29/7/19",94.000000,77.000000,88.000000
"30/7/19",95.000000,81.000000,81.000000
"31/7/19",90.000000,72.000000,82.000000
"1/8/19",88.000000,73.000000,85.000000
"2/8/19",88.000000,73.000000,85.000000
"3/8/19",89.000000,70.000000,76.500000
"4/8/19",88.000000,71.000000,76.500000
"5/8/19",81.000000,71.000000,77.500000
"6/8/19",83.000000,72.000000,78.500000
"7/8/19",87.000000,70.000000,84.500000
"8/8/19",92.000000,70.000000,82.000000
"9/8/19",87.000000,72.000000,76.500000
"10/8/19",83.000000,70.000000,79.500000
"11/8/19",83.000000,68.000000,73.000000
"12/8/19",89.000000,72.000000,85.000000
"13/8/19",80.000000,75.000000,78.500000
"14/8/19",83.000000,72.000000,78.500000
"15/8/19",85.000000,72.000000,84.500000
"16/8/19",83.000000,70.000000,79.500000
"17/8/19",86.000000,73.000000,76.500000
"18/8/19",91.000000,74.000000,84.000000
"19/8/19",93.000000,75.000000,85.500000
"20/8/19",89.000000,76.000000,84.000000
"21/8/19",91.000000,78.000000,79.000000
"22/8/19",93.000000,71.000000,85.000000
"23/8/19",76.000000,66.000000,70.500000
"24/8/19",77.000000,64.000000,74.000000
"25/8/19",77.000000,66.000000,73.000000
"26/8/19",74.000000,61.000000,73.000000
